event_number, event_time[s], pp_height[adc]
126, 114.81059885025024, 10699.0
127, 114.8532202243805, 9076.0
128, 114.86391615867615, 10276.0
129, 114.87456011772156, 30545.0
130, 116.9222264289856, 14350.0
131, 118.36227035522461, 16668.0
132, 122.43096017837524, 14020.0
133, 122.59622883796692, 7377.0
134, 124.00383758544922, 16673.0
135, 124.5530800819397, 9300.0
136, 125.62499475479126, 10186.0
137, 127.9661808013916, 15979.0
138, 128.60071992874146, 39867.0
139, 130.3604187965393, 11787.0
140, 137.57544445991516, 23299.0
141, 138.95114254951477, 45559.0
142, 139.521719455719, 7772.0
143, 141.55881142616272, 33574.0
144, 141.7027349472046, 19543.0
145, 144.84352827072144, 13012.0
146, 147.1897051334381, 15219.0
147, 149.41884112358093, 13203.0
148, 150.23985385894775, 22986.0
149, 151.13047337532043, 23905.0
150, 152.79432773590088, 18131.0
151, 153.22078728675842, 16291.0
152, 153.29007148742676, 13200.0
153, 154.71922945976257, 11082.0
154, 155.40183067321777, 8779.0
155, 155.43377161026, 22966.0
156, 155.67391657829285, 8436.0
157, 159.34797263145447, 13290.0
158, 160.46792578697205, 26134.0
159, 161.29984402656555, 8593.0
160, 162.67033004760742, 26360.0
161, 162.95821166038513, 10741.0
162, 162.99545860290527, 16822.0
163, 164.62729287147522, 14234.0
164, 165.62453150749207, 11202.0
165, 167.0535364151001, 46752.0
166, 168.16301941871643, 10919.0
167, 170.83445954322815, 34930.0
168, 173.81015515327454, 40138.0
169, 174.2633535861969, 23398.0
170, 175.29243969917297, 11266.0
171, 176.68949365615845, 14660.0
172, 177.9691801071167, 11024.0
173, 178.80649709701538, 12369.0
174, 178.98779892921448, 9113.0
175, 179.2704291343689, 23243.0
176, 179.27580785751343, 34653.0
177, 180.51297283172607, 13372.0
178, 181.70195388793945, 13785.0
179, 182.1926863193512, 14534.0
180, 183.6429648399353, 10857.0
181, 184.05892539024353, 23217.0
182, 184.10149812698364, 10257.0
183, 186.45348167419434, 18461.0
184, 190.85786128044128, 10237.0
185, 191.90296530723572, 27913.0
186, 195.91832542419434, 36832.0
187, 196.00894141197205, 18857.0
